금융회사명,상품명,가입방법,상환 방식,우대조건,가입대상,금리유형,적립유형,저축기간(개월),최저 금리(%),최고우대금리(%),금융권,최저 금리(%),대출한도
우리은행,우리 새희망홀씨II,영업점,"원(리)금균등분할상환 : 최장 7년이내","다음 각 호의 조건에 해당되는 경우 최대 연 1.0%p 우대금리 적용 가능, 다문화 가정 : 연 0.3%p, 60세 이상 부모 부양자 : 연 0.3%p, 기초생활수급권자 : 연 0.3%p, 3자녀 이상 : 연 0.3%p, 한부모 가정 : 연 0.3%p, 장애인 : 연 0.3%p, 금리우대쿠폰(대출 미보유 고객) : 연 0.3%p, 청년층(만29세 이하) : 연 0.2%p, 고령자(만65세 이상) : 연 0.2%p, 금융교육이수자 : 연 0.1%p, 일용직 근로자 : 연 0.1%p, 다음 각 호의 조건에 해당되는 경우 최대 연 1.0%p 우대금리 적용 가능, 다문화 가정 : 연 0.3%p, 60세 이상 부모 부양자 : 연 0.3%p, 기초생활수급권자 : 연 0.3%p, 3자녀 이상 : 연 0.3%p, 한부모 가정 : 연 0.3%p, 장애인 : 연 0.3%p, 금리우대쿠폰(대출 미보유 고객) : 연 0.3%p, 청년층(만29세 이하) : 연 0.2%p, 고령자(만65세 이상) : 연 0.2%p, 금융교육이수자 : 연 0.1%p, 일용직 근로자 : 연 0.1%p","다음 각호의 어느 하나에 해당하는 개인 및 개인사업자 고객(※단, 외국인 제외)
※ 내부신용등급 및 연체이력등에 따라 대출 취급이 불가할수 있음
연소득 3,500만원 이하인 자 & 신용평가회사의 개인신용평점을 보유한 자
연소득 4,500만원 이하인 자 & 신용평가회사의 개인신용평점이 하위 100분의 20에 해당하는자
다음 각호의 어느 하나에 해당하는 개인 및 개인사업자 고객(※단, 외국인 제외)
연소득 3,500만원 이하인 자 & 신용평가회사의 개인신용평점을 보유한 자
연소득 4,500만원 이하인 자 & 신용평가회사의 개인신용평점이 하위 100분의 20에 해당하는자
 ※ 내부신용등급 및 연체이력등에 따라 대출 취급이 불가할수 있음","고정금리
고정금리",해당없음,정보 없음,7.79,1.0,2금융권,7.79,3500만원
전북은행,JB 새희망홀씨II 대출,"모바일,인터넷,영업점","원금균등분할상환, 원리금균등분할상환 : 1년 ~ 5년","우대금리 : 최고 연 1.50% (금융소외계층 최고 1.00% / 성실상환우대 최고 0.50%), * 취급당시 금융소외계층 우대 적용 / 취급 후 1년 경과시 성실상환우대 추가 적용, ※ 상기 대출 금리는 기준일 현재의 적용금리이며, 기준금리 변동시 금리가 변동될 수 있습니다., 우대금리 : 최고 연 1.50% (금융소외계층 최고 1.00% / 성실상환우대 최고 0.50%), * 취급당시 금융소외계층 우대 적용 / 취급 후 1년 경과시 성실상환우대 추가 적용, ※ 상기 대출 금리는 기준일 현재의 적용금리이며, 기준금리 변동시 금리가 변동될 수 있습니다.","다음의 조건을 모두 충족하는 개인(개인사업자 포함)
전북은행 신용등급(결합) 7등급 이상
재직조건
급여소득자 : 현 직장 재직기간 3개월 이상
사업소득자 : 사업영위기간 6개월 이상
연금소득자 : 연금수령 1회이상(다만, 4대 공적연금(국민연금,공무원연금,군인연금,사학연금)에 한함
급여소득자 : 현 직장 재직기간 3개월 이상
사업소득자 : 사업영위기간 6개월 이상
연금소득자 : 연금수령 1회이상(다만, 4대 공적연금(국민연금,공무원연금,군인연금,사학연금)에 한함
소득조건
연소득 3,500만원 이하 (다만, 개인신용평가회사의 개인 신용평점이 하위 100분의 20에 해당하는 자는 연소득 4,500만원 이하)
연소득 3,500만원 이하 (다만, 개인신용평가회사의 개인 신용평점이 하위 100분의 20에 해당하는 자는 연소득 4,500만원 이하)
다음의 조건을 모두 충족하는 개인(개인사업자 포함)
전북은행 신용등급(결합) 7등급 이상
재직조건
급여소득자 : 현 직장 재직기간 3개월 이상
사업소득자 : 사업영위기간 6개월 이상
연금소득자 : 연금수령 1회이상(다만, 4대 공적연금(국민연금,공무원연금,군인연금,사학연금)에 한함
소득조건
연소득 3,500만원 이하 (다만, 개인신용평가회사의 개인 신용평점이 하위 100분의 20에 해당하는 자는 연소득 4,500만원 이하)",정보 없음,해당없음,정보 없음,8.11,1.5,2금융권,8.11,3500만원
신한은행,쏠편한 새희망홀씨 대출,모바일,"만기일시상환: 1년
원금분할상환: 1년~5년
대출만기 도래 시 은행의 심사 결과에 따라 대출금 상환 또는 대출기한 연기가능 하며 1년 단위로 최장 20년까지 연장가능합니다. (만기일시상환 방식 해당)","신한은행 특별지원 1.5% 우대(~23.12.31까지 한시 적용), 성실상환자에 대한 금리감면 최대 2.85%, 만기일시상환대출 : 대출연기 시 과거 약정기간 중 연체내역이 없는 경우 금리 연도별 0.5% 최대 5년간 누적 2.0%까지 우대, 분할상환대출 : 약정기간(분기별) 중 연체내역이 없는 경우 분기별 0.15% 최대 2.85%까지 우대, 신한은행 특별지원 1.5% 우대(~23.12.31까지 한시 적용),  성실상환자에 대한 금리감면 최대 2.85%, 만기일시상환대출 : 대출연기 시 과거 약정기간 중 연체내역이 없는 경우 금리 연도별 0.5% 최대 5년간 누적 2.0%까지 우대, 분할상환대출 : 약정기간(분기별) 중 연체내역이 없는 경우 분기별 0.15% 최대 2.85%까지 우대","6개월 이상 재직중인 직장인
만 19세 이상 내국인
납부한 건강보험료로 추정한 연소득과 개인신용평점이 다음 중 한 가지를 충족하는 고객
신한은행 심사기준을 충족하는 고객
다음에 해당되는 경우 대출대상에서 제외 됨
① 연환산소득 3,500만원 이하
② 연환산소득 3,500만원 초과 4,500만원 이하 & 개인신용평가회사의 개인신용평점이 하위 20%에 해당
직장인으로 건강보험료를 납입 중인 고객
현재 보유하고 있는 대출금액이 3,000만원을 초과하는 고객 (신청건 및 담보대출 제외)
은행연합회 신용정보전산망에 신용도 판단정보 및 공공 정보가 등재된 고객
재외국민, 외국인, 해외체류자
6개월 이상 재직중인 직장인
 만 19세 이상 내국인
 납부한 건강보험료로 추정한 연소득과 개인신용평점이 다음 중 한 가지를 충족하는 고객
① 연환산소득 3,500만원 이하
② 연환산소득 3,500만원 초과 4,500만원 이하 & 개인신용평가회사의 개인신용평점이 하위 20%에 해당
직장인으로 건강보험료를 납입 중인 고객
 신한은행 심사기준을 충족하는 고객
 다음에 해당되는 경우 대출대상에서 제외 됨
현재 보유하고 있는 대출금액이 3,000만원을 초과하는 고객 (신청건 및 담보대출 제외)
은행연합회 신용정보전산망에 신용도 판단정보 및 공공 정보가 등재된 고객
재외국민, 외국인, 해외체류자","변동금리 : 금융채 1년
변동금리 : 금융채 1년",해당없음,정보 없음,8.13,1.5,2금융권,8.13,3500만원
농협은행,NH모바일새희망홀씨II,모바일,"원(리)금균등할부상환 : 1년 이상 5년 이내(거치기간 없음)","우대금리 : 최고 0.2%p 우대, ※ 대출 신청 시 적용된 우대금리는 대출만기까지 적용되고, 기한연기, 금리인하요구 및 조건변경의 금리 재산출 시 우대금리가 변경될 수 있습니다., ※ 대출금리는 고객 신용등급, 거래실적, 대출조건 등에 따라 차등 적용될 수 있습니다. 금리관련 자세한 사항은 NH농협은행 고객행복센터(Tel. 1661-3000) 직원과 상담하시기 바랍니다., 청년층(만29세 이하) 또는 고령자(만65세 이상) 우대 : 0.20%p, 우대금리 : 최고 0.2%p 우대, 청년층(만29세 이하) 또는 고령자(만65세 이상) 우대 : 0.20%p,  ※ 대출 신청 시 적용된 우대금리는 대출만기까지 적용되고, 기한연기, 금리인하요구 및 조건변경의 금리 재산출 시 우대금리가 변경될 수 있습니다.,  ※ 대출금리는 고객 신용등급, 거래실적, 대출조건 등에 따라 차등 적용될 수 있습니다. 금리관련 자세한 사항은 NH농협은행 고객행복센터(Tel. 1661-3000) 직원과 상담하시기 바랍니다.","대출신청일 현재 6개월 이상 계속 재직하고 있고, 다음 조건 중 하나를 만족하는 고객
※ 국민건강보험공단 자격득실확인서 기준 재직기간 6개월 이상인 직장인 근로자
※ 국민건강보험공단 보험료 납부확인서에 의한 납부보험료로 추정한 연환산소득 기준
※ 대출신청일 현재 동일사업장 국민건강보험 가입이력이 6개월 이상이어야 하며, 자격유지 기준 변동사항(휴직, 이직, 합병 등)이 있는 경우에는 신청이 불가합니다.
① 연소득 4,500만원 이하이면서 개인신용평가회사(KCB 또는 NICE)가 산정한 개인신용평점이 하위 100분의 20에 해당하는 자
② 연소득 3,500만원 이하
대출신청일 현재 6개월 이상 계속 재직하고 있고, 다음 조건 중 하나를 만족하는 고객
① 연소득 4,500만원 이하이면서 개인신용평가회사(KCB 또는 NICE)가 산정한 개인신용평점이 하위 100분의 20에 해당하는 자
② 연소득 3,500만원 이하
 ※ 국민건강보험공단 자격득실확인서 기준 재직기간 6개월 이상인 직장인 근로자
 ※ 국민건강보험공단 보험료 납부확인서에 의한 납부보험료로 추정한 연환산소득 기준
 ※ 대출신청일 현재 동일사업장 국민건강보험 가입이력이 6개월 이상이어야 하며, 자격유지 기준 변동사항(휴직, 이직, 합병 등)이 있는 경우에는 신청이 불가합니다.","변동금리
변동금리",해당없음,정보 없음,8.35,0.2,2금융권,8.35,3500만원
부산은행,새희망홀씨II,"모바일,영업점","만기일시상환방식 : 6개월 이상 ~ 1년 이내
원금균등, 원리금균등 상환방식대출 : 1년 초과 ~ 7년 이내
※65세이상의 경우 대출만기는 3년으로 제한","최대 5.8%, 1. 기본 감면금리 최대 연 0.80%, 2. 신용평점에 따라 최대 연 4.00%, 3. 특별 감면금리(비대면 채널 적용 불가) 최대 연 1.00%, 1) 부산은행 급여이체 0.30%, 2) 새희망홀씨 서민금융상담행사 신청 고객(비대면 채널 적용 불가) 0.50%, 최대 5.8%,  1. 기본 감면금리 최대 연 0.80%, 1) 부산은행 급여이체 0.30%, 2) 새희망홀씨 서민금융상담행사 신청 고객(비대면 채널 적용 불가) 0.50%,  2. 신용평점에 따라 최대 연 4.00%,  3. 특별 감면금리(비대면 채널 적용 불가) 최대 연 1.00%","공통
급여소득자 : 3개월 이상
개인사업자 : 3개월 이상
연금소득자 : 연금 1회 이상 수령
연소득 3,500만원 이하 또는
연소득 3,500만원 초과 ~ 4,500만원 이하인 자 중 신용평점 NICE 744점 이하 또는 KCB 700점 이하
공적연금(국민연금, 공무원연금, 군인연금, 사학연금)만 가능하며, 기초연금은 불가.
단, 비대면 채널은 국민연금 限
공통
연소득 3,500만원 이하 또는
연소득 3,500만원 초과 ~ 4,500만원 이하인 자 중 신용평점 NICE 744점 이하 또는 KCB 700점 이하
 급여소득자 : 3개월 이상
 개인사업자 : 3개월 이상
 연금소득자 : 연금 1회 이상 수령
공적연금(국민연금, 공무원연금, 군인연금, 사학연금)만 가능하며, 기초연금은 불가.
단, 비대면 채널은 국민연금 限","변동금리 : 신규취급액기준(COFIX)
변동금리 : 신규취급액기준(COFIX)",해당없음,정보 없음,8.55,5.8,2금융권,8.55,3500만원
국민은행,KB 새희망홀씨II,"모바일,인터넷,영업점","원금균등 또는 원리금균등 분할상환 : 최저1년 이상 최장7년 이내(거치기간 설정불가)","최고 연 1.0%p, 아래 항목당 연 0.5%p 우대, 아래 항목당 연 0.1%p 우대, 성실상환고객 금리우대, ① 기초생활수급권자, ② 한부모가정, ③ 다문화가정, ④ 만 20세 미만인 자녀를 3명 이상 부양고객, ⑤ 만 60세 이상인 부모를 부양고객, ⑥「맞춤형서민금융상담」참여고객, ⑦ 등록 장애인, ① 만 29세 이하인 고객, ② 만 65세 이상인 고객, ③ 금융교육이수자, ※ 서민금융진흥원, 한국금융연수원, 신용교육원에서 진행, ※ 서민금융진흥원, 한국금융연수원, 신용교육원에서 진행, 금리산정기간(12개월) 동안 납입지연일수가 없는 고객 연 0.3%p씩 금리인하, 최고 연 1.0%p,  아래 항목당 연 0.5%p 우대, ① 기초생활수급권자, ② 한부모가정, ③ 다문화가정, ④ 만 20세 미만인 자녀를 3명 이상 부양고객, ⑤ 만 60세 이상인 부모를 부양고객, ⑥「맞춤형서민금융상담」참여고객, ⑦ 등록 장애인,  아래 항목당 연 0.1%p 우대, ① 만 29세 이하인 고객, ② 만 65세 이상인 고객, ③ 금융교육이수자, ※ 서민금융진흥원, 한국금융연수원, 신용교육원에서 진행,  성실상환고객 금리우대, 금리산정기간(12개월) 동안 납입지연일수가 없는 고객 연 0.3%p씩 금리인하","개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 국내거주 국민으로서 연간소득 3,500만원 이하[다만, 개인신용평점 하위 20% 이하인 경우에는 연간소득 4,500만원 이하] 이고 다음 각 항목 중 하나에 해당하는 고객
①증빙소득서류 제출자 (직업 및 소득 확인서류 등으로 증빙된 소득)
②국민연금보험료 또는 지역건강보험료(세대주에 한함) 3개월 이상 정상 납부액 기준으로 소득금액이 산출되는 고객
개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 국내거주 국민으로서 연간소득 3,500만원 이하[다만, 개인신용평점 하위 20% 이하인 경우에는 연간소득 4,500만원 이하] 이고 다음 각 항목 중 하나에 해당하는 고객
①증빙소득서류 제출자 (직업 및 소득 확인서류 등으로 증빙된 소득)
②국민연금보험료 또는 지역건강보험료(세대주에 한함) 3개월 이상 정상 납부액 기준으로 소득금액이 산출되는 고객","변동금리 : 금융채12개월
변동금리 : 금융채12개월",해당없음,정보 없음,9.79,1.0,2금융권,9.79,3500만원
광주은행,KJB 새희망홀씨II(대환),영업점,"원금균등분할상환대출 : 최대 5년 이내(거치기간 없음)",정보 없음,"성년(성년의제 제외)인 근로소득자(일용근로자 포함), 개인사업자, 연금소득자 중 연소득 3,500만원 이하의 고객
대환 대상 대출의 거래기간이 1년 이상(최소 1계좌 이상)
제외대상 고객
대환 제외대상 계좌
단, 외부 개인신용평점이 하위 100분의 20에 해당하는 경우 연소득 4,500만원 이하의 고객
금융기관 연체대출금 보유자, 신용도판단정보등록 고객 등 광주은행에서 정한 여신 비적격자
미성년자, 외국인(재외국인 포함)
무소득자
아파트 중도금대출, 전세자금대출(증빙된 보증서, 보험증권, 지급보증서로 담보 설정된 대출), 보증서대출, 차량구입관련대출, 현금서비스 이용금액
기업대출
성년(성년의제 제외)인 근로소득자(일용근로자 포함), 개인사업자, 연금소득자 중 연소득 3,500만원 이하의 고객
단, 외부 개인신용평점이 하위 100분의 20에 해당하는 경우 연소득 4,500만원 이하의 고객
 대환 대상 대출의 거래기간이 1년 이상(최소 1계좌 이상)
 제외대상 고객
금융기관 연체대출금 보유자, 신용도판단정보등록 고객 등 광주은행에서 정한 여신 비적격자
미성년자, 외국인(재외국인 포함)
무소득자
 대환 제외대상 계좌
아파트 중도금대출, 전세자금대출(증빙된 보증서, 보험증권, 지급보증서로 담보 설정된 대출), 보증서대출, 차량구입관련대출, 현금서비스 이용금액
기업대출","변동금리 : 신잔액 COFIX 12개월
변동금리 : 신잔액 COFIX 12개월",해당없음,정보 없음,10.16,정보 없음,2금융권,10.16,3500만원
SC제일은행,새희망홀씨2,"영업점 방문, 모바일 신청, 서민금융진흥원 맞춤대출 상담, 영업점 방문, 모바일 신청, 서민금융진흥원 맞춤대출 상담","원리금균등분할상환",정보 없음,"만 19세이상으로 당행 신용평가 시스템(은행내부 신용등급 1~5등급 이내)에 의해 승인 받은 급여생활자 (재직 또는 사업영위 6개월 초과)
연소득 40백만원 이하인자(NICE 신용평가정보㈜의 신용평점(CB평점)이 749점 초과인 고객)
또는 NICE 신용평가정보㈜의 개인신용평점이 하위 100분의 20(NICE 신용평가정보㈜의 신용평점(CB평점)이 749점 이하인 고객)에 해당하는 연소득 50백만원 이하인 자(단, 모바일로 신청시 상기조건을 충족한 급여생활자만 상담 및 신청가능)
만 19세이상으로 당행 신용평가 시스템(은행내부 신용등급 1~5등급 이내)에 의해 승인 받은 급여생활자 (재직 또는 사업영위 6개월 초과)
연소득 40백만원 이하인자(NICE 신용평가정보㈜의 신용평점(CB평점)이 749점 초과인 고객)
또는 NICE 신용평가정보㈜의 개인신용평점이 하위 100분의 20(NICE 신용평가정보㈜의 신용평점(CB평점)이 749점 이하인 고객)에 해당하는 연소득 50백만원 이하인 자(단, 모바일로 신청시 상기조건을 충족한 급여생활자만 상담 및 신청가능)","변동금리
변동금리",해당없음,60,10.27,정보 없음,2금융권,10.27,3500만원
